Symbol,Company Name,Security Type,Security Price,S&P 500 (R)
WMT,Walmart Inc,Common Stock,119.36,1
WRB,Berkley (W.R.) Corp,Common Stock,67.54,1
WSM,Williams-Sonoma Inc,Common Stock,215.54,1
WST,West Pharmaceutical Services Inc.,Common Stock,255.16,1
WTW,Willis Towers Watson plc,Common Stock,319.02,1
WY,Weyerhaeuser Co,Common Stock (REIT),27.07,1
WYNN,Wynn Resorts Ltd,Common Stock,114.13,1
XEL,Xcel Energy Inc.,Common Stock,76.51,1
XOM,Exxon Mobil Corp,Common Stock,133.61,1
XYL,Xylem Inc,Common Stock,141.76,1
XYZ,Block Inc,Common Stock,64,1
YUM,YUM Brands Inc,Common Stock,154.41,1
ZBH,Zimmer Biomet Holdings Inc,Common Stock,86.55,1
ZBRA,Zebra Technologies Corp,Common Stock,242.98,1
ZTS,Zoetis Inc,Common Stock,125.08,1
